model,contract,feature_name,importance
gbt_av,pass,second_suit_len,0.0209
gbt_av,pass,third_highest_trump_rank,0.0
gbt_av,pass,third_suit_len,0.0107
gbt_av,pass,trump_ace_count,0.0
gbt_av,pass,trump_count,0.0
gbt_av,pass,trump_count_x_offsuit_ace,0.0
gbt_av,pass,trump_count_x_void_count,0.0
gbt_av,pass,trump_duplicate_pairs,0.0
gbt_av,pass,trump_king_count,0.0
gbt_av,pass,trump_lb_count,0.0
gbt_av,pass,trump_power_sum,0.0
gbt_av,pass,trump_queen_count,0.0
gbt_av,pass,trump_rb_count,0.0
gbt_av,pass,trump_ten_count,0.0
gbt_av,pass,void_count,0.0101
gbt_av,suit,bid_n,0.4846
gbt_av,suit,bid_n_sq,0.3883
gbt_av,suit,bowers,0.0028
gbt_av,suit,double_ten_jack_count,0.0002
gbt_av,suit,fourth_suit_len,0.0
gbt_av,suit,hand_value,0.0312
gbt_av,suit,high_card_count,0.0011
gbt_av,suit,highest_trump_rank,0.0015
gbt_av,suit,is_loner,0.0
gbt_av,suit,is_moon,0.0
gbt_av,suit,losing_tricks_count,0.002
gbt_av,suit,low_card_count,0.0018
gbt_av,suit,max_suit_len,0.0006
gbt_av,suit,num_doubletons,0.0003
gbt_av,suit,num_singletons,0.0003
gbt_av,suit,offsuit_aces,0.0003
gbt_av,suit,offsuit_best_rank_sum,0.002
gbt_av,suit,offsuit_king_count_total,0.0016
gbt_av,suit,offsuit_length_3plus_count,0.0001
gbt_av,suit,offsuit_non_ace_count,0.0401
gbt_av,suit,offsuit_queen_count_total,0.0012
gbt_av,suit,offsuit_secondbest_rank_sum,0.0017
gbt_av,suit,offsuit_suits_with_ace,0.0022
gbt_av,suit,offsuit_suits_with_ace_and_king,0.0003
gbt_av,suit,offsuit_suits_with_double_ace,0.0011
gbt_av,suit,offsuit_tens_count,0.0009
gbt_av,suit,quick_tricks,0.0086
gbt_av,suit,second_highest_trump_rank,0.0031
gbt_av,suit,second_suit_len,0.0006
gbt_av,suit,third_highest_trump_rank,0.0024
gbt_av,suit,third_suit_len,0.0018
gbt_av,suit,trump_ace_count,0.0005
gbt_av,suit,trump_count,0.0002
gbt_av,suit,trump_count_x_offsuit_ace,0.003
gbt_av,suit,trump_count_x_void_count,0.0009
gbt_av,suit,trump_duplicate_pairs,0.0003
gbt_av,suit,trump_king_count,0.0004
gbt_av,suit,trump_lb_count,0.0004
gbt_av,suit,trump_power_sum,0.0094
gbt_av,suit,trump_queen_count,0.0005
gbt_av,suit,trump_rb_count,0.0008
gbt_av,suit,trump_ten_count,0.0004
gbt_av,suit,void_count,0.0003
