model,contract,feature_name,importance
gbt_av,suit,num_singletons,0.0002
gbt_av,suit,offsuit_aces,0.0004
gbt_av,suit,offsuit_best_rank_sum,0.0014
gbt_av,suit,offsuit_king_count_total,0.0014
gbt_av,suit,offsuit_length_3plus_count,0.0001
gbt_av,suit,offsuit_non_ace_count,0.0407
gbt_av,suit,offsuit_queen_count_total,0.001
gbt_av,suit,offsuit_secondbest_rank_sum,0.0013
gbt_av,suit,offsuit_suits_with_ace,0.0015
gbt_av,suit,offsuit_suits_with_ace_and_king,0.0002
gbt_av,suit,offsuit_suits_with_double_ace,0.001
gbt_av,suit,offsuit_tens_count,0.0007
gbt_av,suit,opp_left_level_high,0.0001
gbt_av,suit,opp_left_level_low,0.0002
gbt_av,suit,opp_left_level_off_color,0.0001
gbt_av,suit,opp_left_level_same_color,0.0003
gbt_av,suit,opp_left_level_same_suit,0.0007
gbt_av,suit,opp_left_passed,0.0004
gbt_av,suit,opp_right_level_high,0.0001
gbt_av,suit,opp_right_level_low,0.0001
gbt_av,suit,opp_right_level_off_color,0.0002
gbt_av,suit,opp_right_level_same_color,0.0012
gbt_av,suit,opp_right_level_same_suit,0.0024
gbt_av,suit,opp_right_passed,0.0003
gbt_av,suit,partner_level_high,0.0003
gbt_av,suit,partner_level_low,0.0002
gbt_av,suit,partner_level_off_color,0.0006
gbt_av,suit,partner_level_same_color,0.003
gbt_av,suit,partner_level_same_suit,0.0121
gbt_av,suit,partner_passed,0.0011
gbt_av,suit,quick_tricks,0.009
gbt_av,suit,seat_rel_1,0.0001
gbt_av,suit,seat_rel_2,0.0006
gbt_av,suit,seat_rel_3,0.0003
gbt_av,suit,second_highest_trump_rank,0.0031
gbt_av,suit,second_suit_len,0.0004
gbt_av,suit,third_highest_trump_rank,0.0022
gbt_av,suit,third_suit_len,0.0016
gbt_av,suit,trump_C,0.0001
gbt_av,suit,trump_D,0.0001
gbt_av,suit,trump_H,0.0002
gbt_av,suit,trump_S,0.0003
gbt_av,suit,trump_ace_count,0.0003
gbt_av,suit,trump_count,0.0004
gbt_av,suit,trump_count_x_offsuit_ace,0.003
gbt_av,suit,trump_count_x_void_count,0.0012
gbt_av,suit,trump_duplicate_pairs,0.0002
gbt_av,suit,trump_king_count,0.0002
gbt_av,suit,trump_lb_count,0.0004
gbt_av,suit,trump_power_sum,0.008
gbt_av,suit,trump_queen_count,0.0003
gbt_av,suit,trump_rb_count,0.0004
gbt_av,suit,trump_ten_count,0.0004
gbt_av,suit,void_count,0.0001
