model,contract,pred_bin,mean_pred,actual_mean,n_samples
selected_two_stage_av,low,4,-9.9022,4.954,500
selected_two_stage_av,low,5,-7.949,4.908,500
selected_two_stage_av,low,6,-6.0202,4.864,500
selected_two_stage_av,low,7,-4.0172,5.248,500
selected_two_stage_av,low,8,-2.1776,4.602,500
selected_two_stage_av,low,9,-0.7287,4.782,500
selected_two_stage_av,low,10,1.4806,4.954,500
selected_two_stage_av,pass,1,-2.4832,3.236,500
selected_two_stage_av,pass,2,-1.6238,3.154,500
selected_two_stage_av,pass,3,-1.1035,2.354,500
selected_two_stage_av,pass,4,-0.7626,2.764,500
selected_two_stage_av,pass,5,-0.5814,2.2,500
selected_two_stage_av,pass,6,-0.3571,3.116,500
selected_two_stage_av,pass,7,-0.1077,2.056,500
selected_two_stage_av,pass,8,0.1586,3.09,500
selected_two_stage_av,pass,9,0.6583,4.07,500
selected_two_stage_av,pass,10,1.4868,6.114,500
