model,contract,pred_bin,mean_pred,actual_mean,n_samples
gbt_av,pass,3,-1.3636,2.996,500
gbt_av,pass,4,-0.9044,2.796,500
gbt_av,pass,5,-0.5528,2.774,500
gbt_av,pass,6,-0.2448,2.36,500
gbt_av,pass,7,0.0386,2.32,500
gbt_av,pass,8,0.3772,2.67,500
gbt_av,pass,9,1.0152,3.906,500
gbt_av,pass,10,3.1987,6.616,500
gbt_av,suit,1,-15.506,4.252,500
gbt_av,suit,2,-14.1679,5.088,500
gbt_av,suit,3,-12.8509,5.084,500
gbt_av,suit,4,-11.1673,5.196,500
gbt_av,suit,5,-8.5469,5.284,500
gbt_av,suit,6,-4.6398,5.084,500
gbt_av,suit,7,-1.8273,4.81,500
gbt_av,suit,8,-0.6197,4.928,500
gbt_av,suit,9,0.3054,5.176,500
gbt_av,suit,10,1.8511,5.796,500
selected_ols_av,high,1,-16.6817,4.54,500
selected_ols_av,high,2,-13.9563,4.848,500
selected_ols_av,high,3,-11.7753,4.806,500
selected_ols_av,high,4,-9.8072,4.986,500
selected_ols_av,high,5,-7.8892,4.884,500
selected_ols_av,high,6,-5.9402,5.046,500
selected_ols_av,high,7,-3.8285,4.884,500
selected_ols_av,high,8,-2.1157,4.706,500
selected_ols_av,high,9,-0.5741,4.914,500
selected_ols_av,high,10,1.6334,5.212,500
selected_ols_av,low,1,-16.8383,4.414,500
selected_ols_av,low,2,-14.0056,4.946,500
selected_ols_av,low,3,-11.8199,4.842,500
selected_ols_av,low,4,-9.84,4.954,500
selected_ols_av,low,5,-7.8806,4.908,500
selected_ols_av,low,6,-5.9538,4.864,500
selected_ols_av,low,7,-3.952,5.248,500
selected_ols_av,low,8,-2.1771,4.602,500
selected_ols_av,low,9,-0.7252,4.782,500
selected_ols_av,low,10,1.4843,4.954,500
selected_ols_av,pass,1,-2.401,3.236,500
selected_ols_av,pass,2,-1.5603,3.154,500
selected_ols_av,pass,3,-1.0624,2.354,500
selected_ols_av,pass,4,-0.7198,2.764,500
selected_ols_av,pass,5,-0.5561,2.2,500
selected_ols_av,pass,6,-0.3172,3.116,500
selected_ols_av,pass,7,-0.0919,2.056,500
selected_ols_av,pass,8,0.1798,3.09,500
selected_ols_av,pass,9,0.6642,4.07,500
selected_ols_av,pass,10,1.4712,6.114,500
selected_ols_av,suit,1,-16.7256,4.684,500
selected_ols_av,suit,2,-13.821,5.184,500
selected_ols_av,suit,3,-11.4498,5.144,500
selected_ols_av,suit,4,-9.3275,5.184,500
selected_ols_av,suit,5,-7.3086,5.034,500
selected_ols_av,suit,6,-5.2467,5.218,500
selected_ols_av,suit,7,-3.1828,5.108,500
selected_ols_av,suit,8,-1.516,4.832,500
selected_ols_av,suit,9,-0.003,5.064,500
selected_ols_av,suit,10,1.8004,5.246,500
selected_two_stage_av,high,1,-16.6817,4.54,500
selected_two_stage_av,high,2,-13.9563,4.848,500
selected_two_stage_av,high,3,-11.7753,4.806,500
selected_two_stage_av,high,4,-9.8072,4.986,500
selected_two_stage_av,high,5,-7.8892,4.884,500
selected_two_stage_av,high,6,-5.9402,5.046,500
selected_two_stage_av,high,7,-3.8285,4.884,500
selected_two_stage_av,high,8,-2.1157,4.706,500
selected_two_stage_av,high,9,-0.5741,4.914,500
selected_two_stage_av,high,10,1.6334,5.212,500
selected_two_stage_av,low,1,-16.8383,4.414,500
selected_two_stage_av,low,2,-14.0056,4.946,500
selected_two_stage_av,low,3,-11.8199,4.842,500
selected_two_stage_av,low,4,-9.84,4.954,500
selected_two_stage_av,low,5,-7.8806,4.908,500
selected_two_stage_av,low,6,-5.9538,4.864,500
selected_two_stage_av,low,7,-3.952,5.248,500
selected_two_stage_av,low,8,-2.1771,4.602,500
selected_two_stage_av,low,9,-0.7252,4.782,500
selected_two_stage_av,low,10,1.4843,4.954,500
selected_two_stage_av,pass,1,-2.401,3.236,500
selected_two_stage_av,pass,2,-1.5603,3.154,500
selected_two_stage_av,pass,3,-1.0624,2.354,500
selected_two_stage_av,pass,4,-0.7198,2.764,500
selected_two_stage_av,pass,5,-0.5561,2.2,500
selected_two_stage_av,pass,6,-0.3172,3.116,500
selected_two_stage_av,pass,7,-0.0919,2.056,500
selected_two_stage_av,pass,8,0.1798,3.09,500
selected_two_stage_av,pass,9,0.6642,4.07,500
selected_two_stage_av,pass,10,1.4712,6.114,500
