model_a,model_b,facet,net_eppd_delta,ci_low,ci_high,win_rate_a,deals_total
rankthetank,selected_two_stage_av,bid_type:regular,-10.52,-10.7516,-10.2816,0.1024,2500
selected_two_stage_av,anchor_hybrid_r0_full,pooled,0.2076,0.0036,0.4184,0.4316,2500
selected_two_stage_av,anchor_hybrid_r0_full,suit,0.1521,-0.0854,0.3901,0.4306,1874
selected_two_stage_av,anchor_hybrid_r0_full,high,0.8475,0.227,1.4858,0.4929,282
selected_two_stage_av,anchor_hybrid_r0_full,low,-0.0145,-0.593,0.5669,0.3866,344
selected_two_stage_av,anchor_hybrid_r0_full,bid_type:regular,0.2076,0.0036,0.4184,0.4316,2500
anchor_hybrid_r0_full,selected_two_stage_av,pooled,-0.5032,-0.7064,-0.2924,0.4364,2500
anchor_hybrid_r0_full,selected_two_stage_av,suit,-0.4357,-0.6742,-0.2052,0.4426,1891
anchor_hybrid_r0_full,selected_two_stage_av,high,-0.8249,-1.4903,-0.1518,0.4008,257
anchor_hybrid_r0_full,selected_two_stage_av,low,-0.6307,-1.2244,-0.0425,0.429,352
anchor_hybrid_r0_full,selected_two_stage_av,bid_type:regular,-0.5032,-0.7064,-0.2924,0.4364,2500
gbt_av,gbt_av,pooled,-0.1516,-0.3952,0.0936,0.452,2500
gbt_av,gbt_av,suit,-0.0092,-0.2785,0.2619,0.4579,1745
gbt_av,gbt_av,high,0.033,-0.8066,0.8632,0.467,212
gbt_av,gbt_av,low,-0.6814,-1.2983,-0.0423,0.4273,543
gbt_av,gbt_av,bid_type:regular,-0.1601,-0.4074,0.0808,0.4518,2499
gbt_av,gbt_av,bid_type:moon,21.0,21.0,21.0,1.0,1
gbt_av,constrained_ols_av,pooled,1.3748,1.1808,1.5676,0.6208,2500
gbt_av,constrained_ols_av,suit,1.517,1.3129,1.727,0.6286,1828
gbt_av,constrained_ols_av,high,1.3226,0.5713,2.0783,0.6221,217
gbt_av,constrained_ols_av,low,0.8286,0.2703,1.3846,0.589,455
gbt_av,constrained_ols_av,bid_type:regular,1.3748,1.1808,1.5676,0.6208,2500
constrained_ols_av,gbt_av,pooled,-1.5956,-1.7832,-1.4052,0.2284,2500
constrained_ols_av,gbt_av,suit,-1.6255,-1.8287,-1.4159,0.2249,1885
constrained_ols_av,gbt_av,high,-2.1068,-2.7039,-1.4902,0.199,206
constrained_ols_av,gbt_av,low,-1.2005,-1.7653,-0.6381,0.2592,409
constrained_ols_av,gbt_av,bid_type:regular,-1.5956,-1.7832,-1.4052,0.2284,2500
gbt_av,selected_ols_av,pooled,1.4116,1.2184,1.6052,0.6256,2500
gbt_av,selected_ols_av,suit,1.5753,1.3623,1.7822,0.636,1827
gbt_av,selected_ols_av,high,1.206,0.485,1.9227,0.5923,233
gbt_av,selected_ols_av,low,0.8409,0.2704,1.4159,0.6,440
gbt_av,selected_ols_av,bid_type:regular,1.4116,1.2184,1.6052,0.6256,2500
selected_ols_av,gbt_av,pooled,-1.6004,-1.7928,-1.4088,0.2324,2500
selected_ols_av,gbt_av,suit,-1.6667,-1.88,-1.4512,0.2256,1866
selected_ols_av,gbt_av,high,-1.8186,-2.4115,-1.2212,0.2389,226
selected_ols_av,gbt_av,low,-1.1765,-1.75,-0.6005,0.2598,408
selected_ols_av,gbt_av,bid_type:regular,-1.6004,-1.7928,-1.4088,0.2324,2500
gbt_av,full_ols_av,pooled,1.512,1.3156,1.7012,0.6216,2500
gbt_av,full_ols_av,suit,2.0215,1.8024,2.2369,0.684,1579
gbt_av,full_ols_av,high,0.9857,0.3477,1.6129,0.552,279
gbt_av,full_ols_av,low,0.4875,0.0296,0.9237,0.4984,642
gbt_av,full_ols_av,bid_type:regular,1.512,1.3156,1.7012,0.6216,2500
full_ols_av,gbt_av,pooled,-1.7092,-1.8892,-1.518,0.2208,2500
